City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Samarai,PG,86.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
2,Nishihara,JP,76.68,mist,26.1842,127.7558,Minshuku Agaihama
3,Morondava,MG,77.67,clear sky,-20.2833,44.2833,La Case Bambou
12,Janauba,BR,75.61,broken clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
13,Saint George,US,85.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
16,Puerto Ayora,EC,77.81,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
31,Rikitea,PF,79.81,light rain,-23.1203,-134.9692,People ThankYou
34,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
36,Manadhoo,MV,81.12,clear sky,5.7667,73.3833,Bon Abri maldives
37,Pandan,PH,84.13,few clouds,14.0453,124.1694,Bonifacio Lodge
41,Atuona,PF,79.16,light rain,-9.8,-139.0333,Villa Enata
42,San Patricio,US,75.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
45,Rahuri,IN,80.02,broken clouds,19.3833,74.65,P.W.D RESTHOUSE
46,San Pedro,PH,89.35,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
47,Bandrele,YT,80.35,clear sky,-12.9067,45.1914,Les Baobabs
55,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
56,Dwarka,IN,77.45,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
62,Cockburn Town,TC,78.15,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
67,Butaritari,KI,80.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
71,Itacoatiara,BR,76.05,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
76,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Mandera,KE,81.18,light rain,3.9366,41.867,Hiren Hotel Mandera
86,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
88,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
99,Faanui,PF,82.53,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Iralaya,HN,78.01,broken clouds,15.0,-83.2333,Iglesia morava renovada
