City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Samarai,PG,-10.6167,150.6667,86.76,67,100,14.14,overcast clouds
1,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,77,20,6.91,few clouds
2,Nishihara,JP,26.1842,127.7558,76.68,97,100,24.16,mist
3,Morondava,MG,-20.2833,44.2833,77.67,90,8,5.59,clear sky
4,Oranjemund,NA,-28.55,16.4333,56.39,95,1,2.66,clear sky
5,Horsham,GB,51.064,-0.3272,47.53,75,0,4.61,clear sky
6,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,71,0,17.27,clear sky
7,Barrow,US,71.2906,-156.7887,1.42,78,100,24.16,overcast clouds
8,Airai,TL,-8.9266,125.4092,70.86,67,80,1.81,broken clouds
9,Hamilton,US,39.1834,-84.5333,44.98,82,100,9.22,light rain
10,Ballina,AU,-28.8667,153.5667,73.58,96,100,6.78,overcast clouds
11,Bluff,NZ,-46.6,168.3333,60.31,75,100,10.76,overcast clouds
12,Janauba,BR,-15.8025,-43.3089,75.61,60,81,4.23,broken clouds
13,Saint George,US,37.1041,-113.5841,85.62,11,0,11.5,clear sky
14,Plettenberg Bay,ZA,-34.0527,23.3716,62.46,81,100,7.65,overcast clouds
15,Mokshan,RU,53.4365,44.6132,31.19,84,100,9.4,overcast clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,77.81,85,54,5.14,light rain
17,Mount Isa,AU,-20.7333,139.5,91.17,33,0,5.75,clear sky
18,Cape Town,ZA,-33.9258,18.4232,62.28,69,0,6.91,clear sky
19,Hobart,AU,-42.8794,147.3294,72.05,62,20,5.75,few clouds
20,Busselton,AU,-33.65,115.3333,66.83,86,100,13.2,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,59.81,77,99,14.03,overcast clouds
22,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,94,0,11.5,clear sky
23,Bud,US,39.447,-86.1758,46.42,76,100,17.11,light rain
24,Loikaw,MM,19.6742,97.2094,73.54,49,10,1.5,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,55.51,62,75,20.71,broken clouds
26,Stornoway,GB,58.2093,-6.3865,48.16,82,100,4.61,overcast clouds
