City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-03-24 02:57:02,57.79,-152.4072,32.77,63,67,8.46
1,Punta Arenas,CL,2022-03-24 02:57:02,-53.15,-70.9167,46.51,49,0,17.27
2,Polunochnoye,RU,2022-03-24 02:57:02,60.8697,60.4153,15.71,79,31,6.73
3,Tual,ID,2022-03-24 02:57:03,-5.6667,132.75,79.68,85,100,24.47
4,Rikitea,PF,2022-03-24 02:57:03,-23.1203,-134.9692,79.54,71,100,13.29
5,Hilo,US,2022-03-24 02:55:17,19.7297,-155.09,73.13,93,100,9.22
6,Cockburn Town,TC,2022-03-24 02:56:33,21.4612,-71.1419,77.95,77,0,24.61
7,Pavino,RU,2022-03-24 02:57:04,59.1139,46.1414,28.76,90,100,5.77
8,Ushuaia,AR,2022-03-24 02:55:13,-54.8,-68.3,47.86,40,75,16.11
9,Awjilah,LY,2022-03-24 02:57:05,29.1081,21.2869,48.87,69,0,7.9
10,Castro,BR,2022-03-24 02:57:05,-24.7911,-50.0119,63.19,93,95,4.16
11,Mataura,NZ,2022-03-24 02:57:06,-46.1927,168.8643,62.01,51,9,9.46
12,Puerto Ayora,EC,2022-03-24 02:57:06,-0.7393,-90.3518,78.48,81,54,7.18
13,Qaanaaq,GL,2022-03-24 02:57:07,77.484,-69.3632,-12.23,81,99,7.16
14,Yarada,IN,2022-03-24 02:57:07,17.65,83.2667,82.72,89,75,5.75
15,Fortuna,US,2022-03-24 02:57:08,40.5982,-124.1573,51.93,87,0,9.22
16,Barrow,US,2022-03-24 02:57:08,71.2906,-156.7887,-7.8,90,6,16.67
17,Butaritari,KI,2022-03-24 02:57:09,3.0707,172.7902,80.71,78,24,12.5
18,Bejar,ES,2022-03-24 02:54:25,40.3864,-5.7634,42.76,92,100,7.34
19,Busselton,AU,2022-03-24 02:57:10,-33.65,115.3333,73.76,39,0,11.5
20,Nouakchott,MR,2022-03-24 02:57:10,18.0858,-15.9785,66.13,57,0,14.45
21,Matara,LK,2022-03-24 02:57:10,5.9485,80.5353,83.32,68,75,6.46
22,Upernavik,GL,2022-03-24 02:57:11,72.7868,-56.1549,-14.89,91,47,5.19
23,Tiksi,RU,2022-03-24 02:57:12,71.6872,128.8694,-3.37,94,95,2.8
24,Hermanus,ZA,2022-03-24 02:57:12,-34.4187,19.2345,66.79,88,84,9.44
25,Igarka,RU,2022-03-24 02:57:13,67.4667,86.5833,11.77,94,95,12.08
26,Mezen,RU,2022-03-24 02:57:14,65.8522,44.24,30.38,98,100,5.73
27,Vieques,PR,2022-03-24 02:57:14,18.425,-65.8329,74.89,80,5,13.31
28,Scarborough,GB,2022-03-24 02:53:19,54.2797,-0.4044,50.32,79,6,5.41
29,College,US,2022-03-24 02:57:15,64.8569,-147.8028,19.38,46,20,10.36
30,Ponta Do Sol,PT,2022-03-24 02:57:15,32.6667,-17.1,63.05,67,23,10.38
31,Le Mars,US,2022-03-24 02:57:16,42.7942,-96.1656,34.57,100,100,13.8
32,Norman Wells,CA,2022-03-24 02:57:16,65.282,-126.8329,5.04,61,20,10.36
33,Mackenzie,CA,2022-03-24 02:57:17,55.2999,-123.1698,39.42,48,75,6.91
34,Krasnoarmeyskiy,RU,2022-03-24 02:57:17,47.0114,42.2072,28.72,65,0,7.78
35,Albany,US,2022-03-24 02:57:18,42.6001,-73.9662,41.79,76,100,1.99
36,Praia Da Vitoria,PT,2022-03-24 02:57:18,38.7333,-27.0667,57.76,88,75,8.08
37,Tuktoyaktuk,CA,2022-03-24 02:57:18,69.4541,-133.0374,-13.0,70,20,19.57
38,Pevek,RU,2022-03-24 02:57:19,69.7008,170.3133,22.59,84,100,1.32
39,Russell,US,2022-03-24 02:57:19,32.3502,-85.1999,63.91,72,84,4.56
40,Tura,IN,2022-03-24 02:57:20,25.5198,90.2201,81.48,48,1,10.07
41,West Plains,US,2022-03-24 02:57:20,36.7281,-91.8524,40.03,82,100,10.36
42,Bredasdorp,ZA,2022-03-24 02:57:21,-34.5322,20.0403,67.51,85,97,6.11
43,Ulladulla,AU,2022-03-24 02:57:21,-35.35,150.4667,66.78,86,100,0.74
44,Khatanga,RU,2022-03-24 02:58:21,71.9667,102.5,6.01,94,100,5.28
45,Bage,BR,2022-03-24 02:58:22,-31.3314,-54.1069,69.58,94,0,10.36
46,Tashtyp,RU,2022-03-24 02:58:22,52.7939,89.8983,23.85,80,100,6.53
47,Lebu,CL,2022-03-24 02:58:23,-37.6167,-73.65,52.48,71,2,13.96
48,Azul,AR,2022-03-24 02:58:23,-36.777,-59.8585,56.34,99,92,1.74
49,Pavlogradka,RU,2022-03-24 02:58:23,54.2024,73.5592,26.69,97,100,14.85
50,Bengkulu,ID,2022-03-24 02:58:24,-3.8004,102.2655,83.3,62,23,4.21
51,Nikolskoye,RU,2022-03-24 02:58:24,59.7035,30.7861,32.88,96,13,4.14
52,Kasongo,CD,2022-03-24 02:58:25,-4.45,26.6667,65.84,97,41,1.7
53,Saint George,US,2022-03-24 02:54:09,37.1041,-113.5841,68.59,14,0,8.05
54,Taoudenni,ML,2022-03-24 02:58:25,22.6783,-3.9836,74.52,13,0,9.44
55,Bilibino,RU,2022-03-24 02:58:26,68.0546,166.4372,20.64,85,100,1.99
56,Jamestown,US,2022-03-24 02:57:48,42.097,-79.2353,47.01,70,100,13.8
57,Bay Roberts,CA,2022-03-24 02:58:27,47.5999,-53.2648,31.05,81,100,5.01
58,Port Alfred,ZA,2022-03-24 02:58:27,-33.5906,26.891,71.76,89,100,13.94
59,Makakilo City,US,2022-03-24 02:58:28,21.3469,-158.0858,76.75,63,75,11.5
60,Nioro,GM,2022-03-24 02:58:28,13.35,-15.75,72.27,38,1,5.08
61,Ponta Delgada,PT,2022-03-24 02:58:28,37.7333,-25.6667,59.5,72,75,4.61
62,Mehamn,NO,2022-03-24 02:58:29,71.0357,27.8492,24.19,60,98,15.14
63,Almaznyy,RU,2022-03-24 02:58:29,48.0448,40.045,31.51,61,0,5.26
64,Quatre Cocos,MU,2022-03-24 02:58:30,-20.2078,57.7625,79.09,74,64,11.99
65,Cape Town,ZA,2022-03-24 02:57:25,-33.9258,18.4232,66.61,86,40,13.8
66,Duayaw Nkwanta,GH,2022-03-24 02:58:30,7.1724,-2.1028,73.02,93,89,3.33
67,Dikson,RU,2022-03-24 02:58:31,73.5069,80.5464,4.19,94,100,9.08
68,Praya,CV,2022-03-24 02:58:32,14.9215,-23.5087,68.54,73,20,19.57
69,Hilton Head Island,US,2022-03-24 02:57:40,32.2163,-80.7526,69.91,93,100,1.99
70,Snyder,US,2022-03-24 02:58:32,32.7179,-100.9176,50.34,29,0,12.66
71,Kefamenanu,ID,2022-03-24 02:58:33,-9.4467,124.4781,83.48,65,97,3.02
72,Port Blair,IN,2022-03-24 02:58:33,11.6667,92.75,84.24,79,40,4.61
73,Te Anau,NZ,2022-03-24 02:58:34,-45.4167,167.7167,62.6,43,7,3.65
74,Tupiza,BO,2022-03-24 02:58:34,-21.45,-65.7167,62.04,25,17,4.5
75,Sao Joao Da Barra,BR,2022-03-24 02:58:34,-21.6403,-41.0511,74.95,78,3,5.84
76,Gagnoa,CI,2022-03-24 02:58:35,6.1293,-5.9437,73.83,97,100,2.68
77,Vaini,TO,2022-03-24 02:58:35,-21.2,-175.2,78.96,94,100,11.5
78,Chuy,UY,2022-03-24 02:58:36,-33.6971,-53.4616,69.82,90,100,9.46
79,Cherskiy,RU,2022-03-24 02:58:36,68.75,161.3,18.61,92,100,5.68
80,San Vicente,AR,2022-03-24 02:58:38,-26.6167,-54.1333,67.5,97,72,6.8
81,Mogadishu,SO,2022-03-24 02:58:38,2.0371,45.3438,80.47,78,20,8.05
82,Nuuk,GL,2022-03-24 02:58:38,64.1835,-51.7216,-7.13,97,65,7.36
